set output "plot4.txt"

set xlabel 'Time (s)'
set ylabel 'rxPower (dBm)'
set key center right
splot "-"  title "txPower 20dBm", -94.0 title "-94 dBm CSThreshold"
0.66 15.9272 14.6139
0.661 14.3712 20.1421
0.662 16.0725 23.0577
0.663 21.2713 24.2376
0.664 22.6843 7.06314
0.665 7.37455 25.3437
0.666 20.7024 15.8106
0.667 13.6136 16.603
0.668 26.6512 16.2204
0.669 13.1451 14.4729
0.67 21.0747 8.60352
0.671 18.7431 5.70965
0.672 20.6883 7.24949
0.673 21.9366 14.362
0.674 19.23 21.0349
0.675 19.3446 22.7637
0.676 9.12396 3.93322
0.677 15.3015 14.0843
0.678 14.2027 22.6516
0.679 8.91484 16.4713
0.68 17.9817 9.86531
0.681 22.8069 21.1894
0.682 11.3972 24.1549
0.683 19.2471 18.5286
0.684 15.6736 14.7828
0.685 14.8525 18.9115
0.686 27.0542 18.3643
0.687 24.7021 17.8547
0.688 13.965 12.0249
0.689 10.0592 25.668
0.69 19.881 23.665
0.691 21.7013 25.6343
0.692 16.8312 24.1156
0.693 9.02191 17.2248
0.694 17.3471 19.9473
0.695 14.3895 21.1404
0.696 22.8392 14.3982
0.697 20.2436 3.42154
0.698 -5.44611 16.7641
0.699 13.391 22.3086
0.7 17.5831 17.3728
0.701 5.66085 19.9094
0.702 16.1768 24.4448
0.703 23.3381 20.5526
0.704 23.1078 23.809
0.705 -5.05825 19.6343
0.706 19.4298 4.67178
0.707 14.6297 17.5142
0.708 4.80218 16.1147
0.709 16.9144 15.8837
0.71 23.961 17.9738
0.711 17.9371 13.1599
0.712 14.6135 17.9556
0.713 9.91134 23.1168
0.714 26.362 19.4627
0.715 14.8233 21.7786
0.716 23.4457 16.6337
0.717 12.1032 19.1704
0.718 21.9107 2.6318
0.719 19.5622 22.4482
0.72 19.6861 12.0157
0.721 8.26356 25.6516
0.722 22.4293 21.9673
0.723 21.3853 17.6094
0.724 23.8857 19.5089
0.725 20.1509 6.71186
0.726 21.7855 18.6317
0.727 24.949 11.6852
0.728 18.7253 14.633
0.729 18.7912 14.9568
0.73 11.2286 24.5378
0.731 10.9986 22.9851
0.732 10.7219 21.9762
0.733 19.4195 16.6898
0.734 22.0339 17.9359
0.735 20.3703 23.723
